Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Democratic Republic of the Congo,Bas-Uele,Aketi Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.7306,23.7852,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Ango Hôpital Général de Référence,Hôpital Général de Référence,Publique,4.0569,25.8506,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Bili Hôpital Général de Référence,Hôpital Général de Référence,Publique,4.245,26.539,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Bondo Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.8177,23.6862,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Buta Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.7888,24.7294,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Likati Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.8863,24.0495,Other,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Pawa Hôpital Général de Référence,Hôpital Général de Référence,Publique,4.0864,26.6827,Other,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Poko Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.153,26.8827,Other,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Titule Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.2631,25.5622,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Bas-Uele,Viadana Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.8786,27.1895,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Agrifor Centre Hôpital,Centre Hôpital,Publique,-5.5763,13.0236,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Boko Kivulu Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.4544,15.1302,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Boma Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.8456,13.0487,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Gombe Matadi Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.9771,14.7117,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Graaf Centre Hôpital,Centre Hôpital,Publique,-5.4131,12.9582,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Ime Kimpese Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.556,14.4252,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Inga Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.602,13.4507,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kangu Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.2477,12.9664,Other,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kiamvu Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.8229,13.4655,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kibunzi Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.1804,13.8861,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kiezila Centre Hôpital,Centre Hôpital,Publique,-5.5694,13.0352,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kimbungu Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.803,14.7875,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kimvula Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.5501,15.9933,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kinkanda Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.8359,13.4459,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kinkonzi Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.9206,13.0927,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Kinkosi Luidi Centre Hôpital,Centre Hôpital,Publique,-5.6334,15.6664,Geonames,Centre Hôpital,Hospital
