Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source
South Sudan,Central Equatoria,Abegi Primary Health Care Unit,Primary Health Care Unit,MoH,4.0131,30.5646,GPS
South Sudan,Central Equatoria,Aboroto Primary Health Care Unit,Primary Health Care Unit,MoH,3.6604,30.7097,Geonames
South Sudan,Central Equatoria,Adra Primary Health Care Unit,Primary Health Care Unit,MoH,5.434,31.7504,GPS
South Sudan,Central Equatoria,Agonyakiri Primary Health Care Unit,Primary Health Care Unit,MoH,3.9285,30.5144,GPS
South Sudan,Central Equatoria,Aic Buluk Primary Health Care Unit,Primary Health Care Unit,MoH,4.848,31.5931,GPS
South Sudan,Central Equatoria,Ajio Primary Health Care Unit,Primary Health Care Unit,MoH,3.8422,31.1954,Geonames
South Sudan,Central Equatoria,Ajira Primary Health Care Unit,Primary Health Care Unit,MoH,3.8521,31.6561,GPS
South Sudan,Central Equatoria,Aken Well Primary Health Care Unit,Primary Health Care Unit,MoH,5.9072,30.8206,GPS
South Sudan,Central Equatoria,Aloto Primary Health Care Centre,Primary Health Care Centre,MoH,3.7495,30.625,GPS
South Sudan,Central Equatoria,Angebi Primary Health Care Unit,Primary Health Care Unit,MoH,4.6088,29.9776,GPS
South Sudan,Central Equatoria,Aru Primary Health Care Unit,Primary Health Care Unit,MoH,4.3635,31.9846,GPS
South Sudan,Central Equatoria,Atiit Primary Health Care Unit,Primary Health Care Unit,MoH,5.8957,30.7717,GPS
South Sudan,Central Equatoria,Bamurey Primary Health Care Centre,Primary Health Care Centre,MoH,3.6683,31.5482,Geonames
South Sudan,Central Equatoria,Bandame Primary Health Care Unit,Primary Health Care Unit,MoH,4.323,30.2864,GPS
South Sudan,Central Equatoria,Bekat Primary Health Care Unit,Primary Health Care Unit,MoH,5.6405,31.6871,GPS
South Sudan,Central Equatoria,Belpham Medical Hq Primary Health Care Centre,Primary Health Care Centre,MoH,4.9119,31.5988,Geonames
South Sudan,Central Equatoria,Bereka Primary Health Care Unit,Primary Health Care Unit,MoH,4.3985,31.0418,GPS
South Sudan,Central Equatoria,Bilinang Primary Health Care Unit,Primary Health Care Unit,MoH,4.8543,31.791,GPS
South Sudan,Central Equatoria,Bilingi Primary Health Care Unit,Primary Health Care Unit,MoH,4.9033,31.3799,GPS
South Sudan,Central Equatoria,Bori Aringa Primary Health Care Unit,Primary Health Care Unit,MoH,5.661,31.6827,GPS
South Sudan,Central Equatoria,Bori Primary Health Care Centre,Primary Health Care Centre,MoH,3.7738,31.5102,GPS
South Sudan,Central Equatoria,Boroboro Primary Health Care Unit,Primary Health Care Unit,MoH,3.8554,31.3823,Geonames
South Sudan,Central Equatoria,Buko Primary Health Care Unit,Primary Health Care Unit,MoH,5.1807,31.2734,Geonames
South Sudan,Central Equatoria,Bungu Primary Health Care Unit,Primary Health Care Unit,MoH,4.6644,31.3961,Geonames
South Sudan,Central Equatoria,Bura Primary Health Care Unit,Primary Health Care Unit,MoH,5.4459,31.3774,GPS
South Sudan,Central Equatoria,Dari _Bari Primary Health Care Unit,Primary Health Care Unit,MoH,5.1664,31.5866,GPS
South Sudan,Central Equatoria,Dari Tali Primary Health Care Unit,Primary Health Care Unit,MoH,6.0059,30.7556,GPS
South Sudan,Central Equatoria,Darsuk Primary Health Care Unit,Primary Health Care Unit,MoH,5.0617,31.3133,GPS
South Sudan,Central Equatoria,Digala Primary Health Care Unit,Primary Health Care Unit,MoH,5.4351,31.7494,Geonames
South Sudan,Central Equatoria,Dimo 1 Primary Health Care Unit,Primary Health Care Unit,MoH,4.2339,30.674,GPS
South Sudan,Central Equatoria,Dokuni Primary Health Care Unit,Primary Health Care Unit,MoH,4.1246,30.9578,Geonames
South Sudan,Central Equatoria,Dongoro Primary Health Care Unit,Primary Health Care Unit,MoH,4.0457,31.1784,GPS
South Sudan,Central Equatoria,Dukudu-Olo Primary Health Care Centre,Primary Health Care Centre,MoH,4.5907,29.8636,GPS
South Sudan,Central Equatoria,Espiscapal Church Primary Health Care Unit,Primary Health Care Unit,FBO/NGO,4.0949,30.6654,GPS
South Sudan,Central Equatoria,Fifty Eight Mile Primary Health Care Unit,Primary Health Care Unit,MoH,4.3684,31.1146,GPS
South Sudan,Central Equatoria,Gabat Primary Health Care Unit,Primary Health Care Unit,MoH,4.2544,31.0003,Geonames
South Sudan,Central Equatoria,Ganji Primary Health Care Centre,Primary Health Care Centre,MoH,4.4543,31.2098,Geonames
South Sudan,Central Equatoria,Gbotoro Primary Health Care Unit,Primary Health Care Unit,MoH,4.1077,31.0924,GPS
South Sudan,Central Equatoria,Gemaiza Primary Health Care Unit,Primary Health Care Unit,MoH,5.6794,31.7972,GPS
South Sudan,Central Equatoria,Genesis Medical Care Primary Health Care Centre,Primary Health Care Centre,MoH,3.8489,31.6582,Geonames
South Sudan,Central Equatoria,Geri Primary Health Care Unit,Primary Health Care Unit,MoH,3.8312,30.946,Geonames
South Sudan,Central Equatoria,Ghabat Primary Health Care Unit,Primary Health Care Unit,MoH,4.8663,31.5455,GPS
South Sudan,Central Equatoria,Gimora Primary Health Care Unit,Primary Health Care Unit,MoH,4.8777,31.5679,GPS
South Sudan,Central Equatoria,Gimoro Primary Health Care Unit,Primary Health Care Unit,MoH,5.166,31.1418,GPS
South Sudan,Central Equatoria,Gimunu Primary Health Care Unit,Primary Health Care Unit,MoH,4.1235,30.7682,GPS
South Sudan,Central Equatoria,Ginyabio Primary Health Care Unit,Primary Health Care Unit,MoH,3.9799,30.9695,GPS
South Sudan,Central Equatoria,Godoru Primary Health Care Centre,Primary Health Care Centre,MoH,3.9385,31.5006,Geonames
South Sudan,Central Equatoria,Goja Primary Health Care Unit,Primary Health Care Unit,MoH,4.0064,30.6363,GPS
South Sudan,Central Equatoria,Goli Primary Health Care Unit,Primary Health Care Unit,MoH,4.2016,30.4496,GPS
South Sudan,Central Equatoria,Gondokoro Main Land Primary Health Care Unit,Primary Health Care Unit,MoH,4.908,31.6628,GPS
South Sudan,Central Equatoria,Gondokoro Primary Health Care Unit,Primary Health Care Unit,MoH,4.9128,31.6534,GPS
South Sudan,Central Equatoria,Good Sheperd Clinic Primary Health Care Centre,Primary Health Care Centre,MoH,4.8592,31.6088,GPS
South Sudan,Central Equatoria,Gorom Primary Health Care Unit,Primary Health Care Unit,MoH,4.7271,31.593,GPS
