Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Uganda,Central,Bishop Ascili Hospital,Hospital,Private not for profit,0.4715,32.8352,Google Earth,Hospital,Hospital
Uganda,Central,Buikwe St. Charles Lwanga Hospital,Hospital,Private not for profit,0.2827,33.0339,Google Earth,Hospital,Hospital
Uganda,Central,Butabika National Referal Hospital,National Referral Hospital,MoH,0.32,32.6575,Geonames,Referral,Hospital
Uganda,Central,Entebbe Hospital,Hospital,MoH,0.052,32.465,GPS,Hospital,Hospital
Uganda,Central,Family Care Hospital,Hospital,Private not for profit,0.3532,32.5626,Other,Hospital,Hospital
Uganda,Central,Gombe Hospital,Hospital,MoH,0.179,32.131,GPS,Hospital,Hospital
Uganda,Central,Kalisizo Hospital,Hospital,MoH,-0.535,31.609,GPS,Hospital,Hospital
Uganda,Central,Kawolo Hospital,Hospital,MoH,0.35,32.9333,Geonames,Hospital,Hospital
Uganda,Central,Kayunga Hospital,Hospital,MoH,0.699,32.9037,Other,Hospital,Hospital
Uganda,Central,Kiboga Hospital,Hospital,MoH,0.911,31.776,GPS,Hospital,Hospital
Uganda,Central,Kibuli Hospital,Hospital,Private not for profit,0.3103,32.5941,Other,Hospital,Hospital
Uganda,Central,Kisubi Hospital,Hospital,Private not for profit,0.1254,32.559,GPS,Hospital,Hospital
Uganda,Central,Kiwoko Hospital,Hospital,Private not for profit,0.8464,32.3531,Other,Hospital,Hospital
Uganda,Central,Lugazi Scoul Hospital,Hospital,Private not for profit,0.3669,32.9425,Other,Hospital,Hospital
Uganda,Central,Masaka Hospital,Hospital,MoH,-0.3445,31.7259,GPS,Hospital,Hospital
Uganda,Central,Mengo Hospital,Hospital,Private not for profit,0.3163,32.5609,Other,Hospital,Hospital
Uganda,Central,Mild May Hospital,Hospital,Private not for profit,0.3851,32.476,Google Earth,Hospital,Hospital
Uganda,Central,Mityana Hospital,Hospital,MoH,0.4175,32.0228,Other,Hospital,Hospital
Uganda,Western,Fort Portal Regional Referral Hospital,Regional Referral Hospital,MoH,0.6577,30.2766,Google Earth,Referral,Hospital
Uganda,Northern,Gulu Regional Referral Hospital,Regional Referral Hospital,MoH,2.7794,32.2891,Google Earth,Referral,Hospital
Uganda,Western,Kabale Regional Referal Hospital,Regional Referral Hospital,MoH,-1.2485,29.9891,Google Earth,Referral,Hospital
Uganda,Central,Naggalama Hospital,Hospital,Private not for profit,0.516,32.775,GPS,Hospital,Hospital
Uganda,Central,Naguru - China Uganda Friendship Hospital,Hospital,MoH,0.3292,32.6064,Google Earth,Hospital,Hospital
Uganda,Central,Nakaseke Hospital,Hospital,MoH,0.796,32.436,GPS,Hospital,Hospital
Uganda,Central,Namungoona Orthodox Hospital,Hospital,Private not for profit,0.3393,32.5354,Other,Hospital,Hospital
Uganda,Central,Nkokonjeru Hospital,Hospital,Private not for profit,0.8263,32.9469,Other,Hospital,Hospital
Uganda,Central,Nkozi Hospital,Hospital,Private not for profit,0.023,32.014,GPS,Hospital,Hospital
Uganda,Central,Old Kampala Hospital,Hospital,Private not for profit,0.3168,32.5653,Other,Hospital,Hospital
Uganda,Central,Rakai Hospital,Hospital,MoH,-0.707,31.394,GPS,Hospital,Hospital
Uganda,Central,Ruth Gaylord Hospital,Hospital,Private not for profit,0.3922,32.5495,Google Earth,Hospital,Hospital
Uganda,Central,Saidina Abubakar Islamic Hospital,Hospital,Private not for profit,0.4175,32.5371,Google Earth,Hospital,Hospital
Uganda,Central,St. Francis Nyenga Hospital,Hospital,Private not for profit,0.395,33.14,GPS,Hospital,Hospital
Uganda,Central,St. Joseph Kitovu Hospital,Hospital,Private not for profit,-0.3333,31.7667,Other,Hospital,Hospital
Uganda,Central,St. Stephens Mpererwe Hospital,Hospital,Private not for profit,0.309,32.6047,Google Earth,Hospital,Hospital
Uganda,Central,Uganda Matyrs Hospital,Hospital,Private not for profit,0.3375,32.7186,Other,Hospital,Hospital
