"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Central Equatoria","Nyori Lasu Primary Hospital",10.5393582816102,30.4239,3.9401
"2","Central Equatoria","Lasu Primary Hospital",10.6580263836148,30.4671,3.9498
"3","Central Equatoria","Mitika Primary Hospital",10.7396744925206,30.5064,3.9582
"4","Central Equatoria","Kaya Primary Hospital",10.800354396296,30.88,3.55
"5","Central Equatoria","Yaya Primary Hospital",10.8162053426236,30.8787,3.5499
"6","Central Equatoria","Robeke Primary Hospital",10.8365433884616,30.5386,3.977
"7","Central Equatoria","Kimba Primary Hospital",10.842591544824,30.8525,3.5797
"8","Central Equatoria","Hai Jebel Primary Hospital",10.8460748998655,30.8749,3.5426
"9","Central Equatoria","Rubeke Primary Hospital",10.8550522107236,30.5429,3.9791
"10","Central Equatoria","Agonyakiri Primary Hospital",10.8775343614527,30.5144,3.9285
"11","Central Equatoria","Abegi Primary Hospital",10.9333316121752,30.5646,4.0131
"12","Central Equatoria","Kagelu Primary Hospital",11.0824336203336,30.6121,4.0518
"13","Central Equatoria","Kergulu Primary Hospital",11.0824336203336,30.6126,4.0519
"14","Central Equatoria","Yondu Primary Hospital",11.1155658278375,30.8983,3.6628
"15","Central Equatoria","Rodoba Primary Hospital",11.1629824120613,30.8072,3.6001
"16","Central Equatoria","Espiscapal Church Primary Hospital",11.2402375614928,30.6654,4.0949
"17","Central Equatoria","Yei County Hospital",11.2424263853996,30.6735,4.0892
"18","Central Equatoria","Goja Primary Hospital",11.2524515443771,30.6363,4.0064
"19","Central Equatoria","Yei River Primary Hospital",11.260932756643,30.6752,4.0881
"20","Central Equatoria","St Martha Primary Hospital",11.2685441330722,30.6765,4.0923
