"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","West","Gisenyi District Hospital",1.10315749664915,29.2623,-1.7021
"2","North","Ruhengeri Referral Hospital",1.62658235371533,29.6367,-1.5058
"3","West","Kabaya District Hospital",1.74212834474287,29.5373,-1.7472
"4","West","Murunda District Hospital",1.86573098089345,29.3761,-1.9068
"5","North","Nemba District Hospital",1.90739754983128,29.7867,-1.6377
"6","West","Shyira District Hospital",1.91345207550329,29.6291,-1.682
"7","North","Kinihira Provincial Hospital",2.2809062011008,29.9886,-1.6619
"8","West","Kirinda District Hospital",2.28136234647006,29.6253,-1.9349
"9","West","Muhororo District Hospital",2.28136234647006,29.6253,-1.9349
"10","West","Gihundwe District Hospital",2.28390804974242,28.9147,-2.483
"11","North","Butaro District Hospital",2.31635081423023,29.8366,-1.4089
"12","Kigali City","Muhima District Hospital",2.42057026495885,30.0585,-1.9367
"13","Kigali City","CHK/CHUK National Referral Hospital",2.44049612303982,30.0604,-1.9565
"14","West","Mibilizi District Hospital",2.44151097813396,28.9537,-2.5676
"15","West","Kibuye Referral Hospital",2.45822135219781,29.3463,-2.067
"16","Kigali City","Kacyiru District Hospital",2.46388849674415,30.0752,-1.9331
"17","Kigali City","King Faisal National Referral Hospital",2.46609142089421,30.0951,-1.9439
"18","North","Ruli District Hospital",2.48993716108374,29.8494,-1.8296
"19","West","Bushenge Provincial Hospital",2.52027439953493,28.9858,-2.4451
"20","Kigali City","Kibagabaga District Hospital",2.52818165362678,30.112,-1.9308
