"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","East","Nyagatare District Hospital",5.00760463514028,30.3262,-1.2981
"2","West","Gisenyi District Hospital",5.12462154511842,29.2623,-1.7021
"3","East","Kiziguro District Hospital",5.29492838196264,30.3848,-1.7666
"4","East","Gahini District Hospital",5.43653573342145,30.4832,-1.8407
"5","North","Ruhengeri Referral Hospital",5.54789163337246,29.6367,-1.5058
"6","West","Kabaya District Hospital",5.66343762440219,29.5373,-1.7472
"7","East","Ngarama District Hospital",5.6669794270668,30.2429,-1.546
"8","East","Rwamagana Provincial Hospital",5.67065673722674,30.4331,-1.9503
"9","North","Byumba District Hospital",5.71996046130269,30.0551,-1.5893
"10","North","Nemba District Hospital",5.82870682949762,29.7867,-1.6377
"11","West","Shyira District Hospital",5.83476135517322,29.6291,-1.682
"12","East","Rwinkwavu District Hospital",5.84248441561765,30.6141,-1.964
"13","East","Kibungo Referral Hospital",5.88487827963999,30.5394,-2.1659
"14","West","Murunda District Hospital",5.8871950293861,29.3761,-1.9068
"15","North","Butaro District Hospital",5.95554992123737,29.8366,-1.4089
"16","North","Kinihira Provincial Hospital",6.0111721913264,29.9886,-1.6619
"17","Kigali City","Masaka District Hospital",6.08184551088843,30.1913,-1.9956
"18","North","Rutongo District Hospital",6.08624609205533,30.0598,-1.8148
"19","Kigali City","Caraes Ndera National Referral Hospital",6.12173774749441,30.169,-1.9547
"20","East","Kirehe District Hospital",6.13302101733955,30.6536,-2.2674
