"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"2","Nord Kivu","Goma Hospital",0,29.1906,-1.663
"3","Nord Kivu","Kalunguta Hospital",0,29.444,0.4881
"4","Nord Kivu","Lubero Hospital",0,29.2301,-0.1537
"5","Nord Kivu","Mabalako Hospital",0,29.314,0.6064
"6","Nord Kivu","Masereka Hospital",0,29.3143,-0.1392
"7","Nord Kivu","Mutwanga Hospital",0,29.7427,0.3383
"8","Ituri","Ariwara Hospital",0.0185256249312945,30.7018,3.1413
"9","Nord Kivu","Biena Hospital",0.0230363147298987,28.8865,0.3208
"10","Nord Kivu","Katwa Hospital",0.0588387519374799,29.3706,0.1164
"11","Nord Kivu","Karisimbi Hospital",0.0893809355452974,29.2357,-1.6754
"12","Ituri","Bunia Hospital",0.0964354683414093,30.2515,1.5623
"13","Nord Kivu","Musienene Hospital",0.10438226766296,29.2478,0.017
"14","Ituri","Mambasa Hospital",0.115298844877396,29.0353,1.3651
"15","Nord Kivu","Butembo Hospital",0.157212442343671,29.2227,0.118
"16","Ituri","Aru Hospital",0.195993993605485,30.6124,3.0282
"17","Nord Kivu","Kyondo Hospital",0.22351913495563,29.3991,4e-04
"18","Nord Kivu","Alimbongo Hospital",0.239577695788476,29.1831,-0.3633
"19","Nord Kivu","Vuhovi Hospital",0.2680431291705,29.4062,0.1426
"20","Nord Kivu","Manguredjipa Hospital",0.387953316522566,28.7655,0.3534
