"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Western","Bwera Hospital",1.85772593275435,29.761,0.036
"2","Western","Kilembe Hospital",2.2499164434933,30.01,0.205
"3","Western","Kagando Hospital",2.34703677637209,29.891,0.025
"4","Western","Kisoro Hospital",2.89007729446614,29.684,-1.277
"5","Western","Kabarole COU Hospital",3.04279170539054,30.269,0.651
"6","Western","Fort Portal Regional Referral Hospital",3.06134375357924,30.2766,0.6577
"7","Western","Virika Hospital",3.10804317814766,30.2783,0.6332
"8","Western","Bundibugyo Hospital",3.16070656078163,30.25,0.8333
"9","Western","Mutolere Hospital",3.41111430242665,29.719,-1.258
"10","Western","Bwindi Community Hospital",3.54488793521357,29.6208,-0.948
"11","Western","Ishaka Adventist Hospital",3.85307163232955,30.1386,-0.543
"12","Western","Rugarama Hospital",3.90209264472333,29.975,-1.237
"13","Western","Kyenjojo Hospital",3.942259583258,30.623,0.639
"14","Western","Kabale Regional Referal Hospital",3.94678910878693,29.9891,-1.2485
"15","Western","Comboni Hospital",3.97198383168754,30.1891,-0.5407
"16","Western","Kitagata Hospital",4.2349168771326,30.1525,-0.6735
"17","Western","Kisiizi Hospital",4.2394172215928,29.9488,-0.9886
"18","Western","Kambuga Hospital",4.58195222776794,29.772,-0.832
"19","Western","Buliisa Hospital",4.66871363901247,30.178,-1.1474
"20","Western","Tumu Hospital",4.66871363901247,30.1779,-1.1466
